연월,평균기온,최고기온,최저기온,평균상대습도,월합강수량,일최다강수량,1시간최다강수량,평균풍속,최대풍속,합계 일조시간,일조율,최심적설,최심신적설,평균지면온도,소비자물가지수,배추가격(원),ds,y,holiday
2017-03,6.217894736842106,18.736842105263158,-4.5473684210526315,58.01052631578948,25.36842105263158,9.627368421052632,0.0,2.1010526315789475,8.656842105263157,221.32736842105263,59.668,4.9875,3.9875,8.041052631578948,97.565,3767,2017-03,3767,0
2017-04,13.66842105263158,27.7,1.0894736842105264,60.242105263157896,72.14315789473685,29.065263157894734,7.3178947368421055,2.351578947368421,9.195789473684211,241.17368421052632,61.288210526315794,0.0,0.0,15.925263157894738,97.442,2238,2017-04,2238,0
2017-05,18.465263157894736,31.517894736842102,7.708421052631579,61.88421052631579,30.865263157894734,14.88842105263158,7.961052631578947,2.068421052631579,8.806315789473684,274.72,62.909684210526315,0.0,0.0,23.290526315789474,97.546,2217,2017-05,2217,0
2017-06,21.526315789473685,32.834736842105265,11.062105263157896,68.08421052631579,57.386315789473684,27.141052631578948,15.526315789473685,1.917894736842105,7.4399999999999995,241.75684210526316,55.29410526315789,0.0,0.0,27.32,97.338,3625,2017-06,3625,0
2017-07,26.243617021276595,34.69578947368421,19.57263157894737,83.67021276595744,281.17894736842106,76.14842105263158,36.113684210526316,1.7610526315789474,7.494736842105263,140.34736842105264,31.652947368421056,0.0,0.0,29.00736842105263,97.499,6013,2017-07,6013,0
2017-08,25.31368421052632,35.653684210526315,15.22,80.77894736842106,238.5284210526316,69.70315789473685,32.12315789473684,1.7642105263157895,7.308421052631578,184.87052631578948,44.226000000000006,0.0,0.0,28.436842105263157,98.058,6510,2017-08,6510,0
2017-09,20.466315789473683,29.637894736842103,9.067368421052631,75.8,96.2642105263158,56.036842105263155,19.25578947368421,1.6926315789473685,7.1421052631578945,205.6,55.26284210526316,0.0,0.0,23.424210526315793,98.172,3776,2017-09,3776,0
2017-10,15.253684210526314,27.53684210526316,1.074736842105263,74.9578947368421,74.32947368421053,36.846315789473685,11.691578947368422,1.776842105263158,8.41578947368421,167.93684210526317,48.124526315789474,0.0,0.0,16.913684210526316,98.077,2593,2017-10,2593,0
2017-11,6.916842105263158,20.931578947368422,-4.509473684210526,62.43157894736842,12.519148936170213,6.446808510638298,0.0,2.02,8.743157894736843,194.64526315789473,63.20515789473684,3.216666666666667,2.875,7.737894736842105,97.347,2731,2017-11,2731,김장철
2017-12,0.012631578947368442,11.923157894736843,-10.869473684210526,59.126315789473686,23.298947368421054,14.273684210526316,0.0,2.216842105263158,8.578947368421053,183.12526315789475,60.58263157894737,3.994444444444445,3.8857142857142857,0.5126315789473684,97.698,3073,2017-12,3073,김장철
2018-01,-1.8610526315789475,11.122105263157893,-15.046315789473685,59.48421052631579,24.794736842105262,11.83157894736842,0.0,2.2263157894736842,8.58736842105263,182.2736842105263,58.718,8.8,6.042857142857143,-0.42526315789473684,98.106,4270,2018-01,4270,0
2018-02,-0.07578947368421056,13.365263157894738,-13.397894736842105,51.77894736842105,34.83157894736842,29.677894736842106,0.0,2.3410526315789473,9.41263157894737,191.91473684210527,63.04631578947368,13.983333333333334,6.888888888888889,0.9702127659574469,98.855,4288,2018-02,4288,0
2018-03,8.027368421052632,23.18631578947368,-4.82421052631579,68.42105263157895,112.29263157894736,34.242105263157896,0.0,2.303157894736842,9.824210526315788,202.3736842105263,54.5921052631579,3.3200000000000003,3.3200000000000003,9.030526315789473,98.751,4310,2018-03,4310,0
2018-04,13.147368421052631,28.263157894736842,-0.13894736842105265,64.23157894736842,139.59894736842105,49.293684210526315,10.361052631578946,2.418947368421053,9.726315789473684,221.03894736842105,56.176210526315785,1.5,1.5,15.128723404255318,98.931,3227,2018-04,3227,0
